sample	pop	super_pop	gender
HGDP00001	Brahui	SAS	male
HGDP00003	Brahui	SAS	male
HGDP00005	Brahui	SAS	male
HGDP00007	Brahui	SAS	male
HGDP00009	Brahui	SAS	male
HGDP00011	Brahui	SAS	male
HGDP00013	Brahui	SAS	male
HGDP00015	Brahui	SAS	male
HGDP00017	Brahui	SAS	male
HGDP00021	Brahui	SAS	male
HGDP00023	Brahui	SAS	male
HGDP00025	Brahui	SAS	male
HGDP00029	Brahui	SAS	male
HGDP00031	Brahui	SAS	male
HGDP00033	Brahui	SAS	male
HGDP00035	Brahui	SAS	male
HGDP00037	Brahui	SAS	male
HGDP00039	Brahui	SAS	male
HGDP00041	Brahui	SAS	male
HGDP00043	Brahui	SAS	male
HGDP00045	Brahui	SAS	male
HGDP00047	Brahui	SAS	male
HGDP00049	Brahui	SAS	male
HGDP00052	Balochi	SAS	male
HGDP00054	Balochi	SAS	male
HGDP00056	Balochi	SAS	male
HGDP00057	Balochi	SAS	male
HGDP00060	Balochi	SAS	male
HGDP00062	Balochi	SAS	male
HGDP00064	Balochi	SAS	male
HGDP00066	Balochi	SAS	male
HGDP00068	Balochi	SAS	male
HGDP00070	Balochi	SAS	male
HGDP00072	Balochi	SAS	male
HGDP00074	Balochi	SAS	male
HGDP00076	Balochi	SAS	male
HGDP00078	Balochi	SAS	male
HGDP00080	Balochi	SAS	male
HGDP00082	Balochi	SAS	male
HGDP00086	Balochi	SAS	male
HGDP00088	Balochi	SAS	male
HGDP00092	Balochi	SAS	male
HGDP00094	Balochi	SAS	male
HGDP00096	Balochi	SAS	male
HGDP00098	Balochi	SAS	male
HGDP00099	Hazara	SAS	male
HGDP00100	Hazara	SAS	male
HGDP00103	Hazara	SAS	male
HGDP00104	Hazara	SAS	male
HGDP00105	Hazara	SAS	male
HGDP00106	Hazara	SAS	male
HGDP00108	Hazara	SAS	male
HGDP00109	Hazara	SAS	male
HGDP00110	Hazara	SAS	male
HGDP00118	Hazara	SAS	male
HGDP00120	Hazara	SAS	male
HGDP00121	Hazara	SAS	male
HGDP00127	Hazara	SAS	male
HGDP00130	Makrani	SAS	male
HGDP00131	Makrani	SAS	male
HGDP00133	Makrani	SAS	male
HGDP00134	Makrani	SAS	male
HGDP00135	Makrani	SAS	male
HGDP00136	Makrani	SAS	male
HGDP00137	Makrani	SAS	male
HGDP00139	Makrani	SAS	male
HGDP00140	Makrani	SAS	male
HGDP00141	Makrani	SAS	male
HGDP00143	Makrani	SAS	male
HGDP00144	Makrani	SAS	male
HGDP00145	Makrani	SAS	male
HGDP00146	Makrani	SAS	male
HGDP00148	Makrani	SAS	male
HGDP00149	Makrani	SAS	male
HGDP00150	Makrani	SAS	male
HGDP00151	Makrani	SAS	female
HGDP00153	Makrani	SAS	female
HGDP00154	Makrani	SAS	female
HGDP00155	Makrani	SAS	female
HGDP00158	Makrani	SAS	male
HGDP00161	Makrani	SAS	male
HGDP00163	Sindhi	SAS	male
HGDP00165	Sindhi	SAS	male
HGDP00167	Sindhi	SAS	male
HGDP00169	Sindhi	SAS	male
HGDP00171	Sindhi	SAS	male
HGDP00173	Sindhi	SAS	male
HGDP00175	Sindhi	SAS	male
HGDP00177	Sindhi	SAS	male
HGDP00179	Sindhi	SAS	male
HGDP00181	Sindhi	SAS	male
HGDP00183	Sindhi	SAS	male
HGDP00185	Sindhi	SAS	male
HGDP00187	Sindhi	SAS	male
HGDP00189	Sindhi	SAS	male
HGDP00191	Sindhi	SAS	male
HGDP00192	Sindhi	SAS	female
HGDP00197	Sindhi	SAS	male
HGDP00199	Sindhi	SAS	male
HGDP00201	Sindhi	SAS	male
HGDP00205	Sindhi	SAS	male
HGDP00206	Sindhi	SAS	female
HGDP00210	Sindhi	SAS	female
HGDP00213	Pathan	SAS	male
HGDP00214	Pathan	SAS	male
HGDP00218	Pathan	SAS	male
HGDP00222	Pathan	SAS	male
HGDP00224	Pathan	SAS	male
HGDP00226	Pathan	SAS	male
HGDP00228	Pathan	SAS	male
HGDP00230	Pathan	SAS	male
HGDP00234	Pathan	SAS	male
HGDP00237	Pathan	SAS	female
HGDP00239	Pathan	SAS	female
HGDP00241	Pathan	SAS	male
HGDP00243	Pathan	SAS	male
HGDP00244	Pathan	SAS	female
HGDP00247	Pathan	SAS	female
HGDP00248	Pathan	SAS	male
HGDP00251	Pathan	SAS	male
HGDP00254	Pathan	SAS	male
HGDP00258	Pathan	SAS	male
HGDP00259	Pathan	SAS	male
HGDP00262	Pathan	SAS	male
HGDP00264	Pathan	SAS	male
HGDP00274	Kalash	SAS	female
HGDP00277	Kalash	SAS	male
HGDP00279	Kalash	SAS	male
HGDP00281	Kalash	SAS	male
HGDP00285	Kalash	SAS	male
HGDP00288	Kalash	SAS	male
HGDP00290	Kalash	SAS	male
HGDP00298	Kalash	SAS	female
HGDP00302	Kalash	SAS	male
HGDP00304	Kalash	SAS	female
HGDP00307	Kalash	SAS	male
HGDP00309	Kalash	SAS	male
HGDP00311	Kalash	SAS	male
HGDP00313	Kalash	SAS	male
HGDP00315	Kalash	SAS	male
HGDP00319	Kalash	SAS	male
HGDP00323	Kalash	SAS	female
HGDP00326	Kalash	SAS	male
HGDP00330	Kalash	SAS	male
HGDP00333	Kalash	SAS	male
HGDP00341	Burusho	SAS	male
HGDP00346	Burusho	SAS	male
HGDP00351	Burusho	SAS	male
HGDP00356	Burusho	SAS	female
HGDP00359	Burusho	SAS	male
HGDP00364	Burusho	SAS	male
HGDP00371	Burusho	SAS	female
HGDP00372	Burusho	SAS	male
HGDP00376	Burusho	SAS	male
HGDP00382	Burusho	SAS	male
HGDP00388	Burusho	SAS	male
HGDP00392	Burusho	SAS	male
HGDP00397	Burusho	SAS	male
HGDP00402	Burusho	SAS	male
HGDP00407	Burusho	SAS	male
HGDP00412	Burusho	SAS	male
HGDP00417	Burusho	SAS	male
HGDP00423	Burusho	SAS	male
HGDP00433	Burusho	SAS	male
HGDP00438	Burusho	SAS	male
HGDP00444	Burusho	SAS	female
HGDP00445	Burusho	SAS	male
HGDP00450	Mbuti	SSA	male
HGDP00452	Biaka	SSA	male
HGDP00453	Biaka	SSA	male
HGDP00454	Biaka	SSA	male
HGDP00455	Biaka	SSA	male
HGDP00458	Biaka	SSA	male
HGDP00459	Biaka	SSA	male
HGDP00460	Biaka	SSA	male
HGDP00462	Mbuti	SSA	male
HGDP00463	Mbuti	SSA	male
HGDP00464	Biaka	SSA	male
HGDP00466	Biaka	SSA	male
HGDP00467	Mbuti	SSA	male
HGDP00469	Biaka	SSA	male
HGDP00470	Biaka	SSA	male
HGDP00471	Mbuti	SSA	female
HGDP00472	Biaka	SSA	male
HGDP00473	Biaka	SSA	male
HGDP00475	Biaka	SSA	male
HGDP00478	Mbuti	SSA	male
HGDP00479	Biaka	SSA	male
HGDP00511	French	EUR	male
HGDP00512	French	EUR	male
HGDP00513	French	EUR	female
HGDP00514	French	EUR	female
HGDP00515	French	EUR	male
HGDP00516	French	EUR	female
HGDP00517	French	EUR	female
HGDP00518	French	EUR	male
HGDP00519	French	EUR	male
HGDP00520	French	EUR	female
HGDP00522	French	EUR	male
HGDP00523	French	EUR	female
HGDP00524	French	EUR	female
HGDP00525	French	EUR	male
HGDP00527	French	EUR	female
HGDP00528	French	EUR	male
HGDP00529	French	EUR	female
HGDP00531	French	EUR	female
HGDP00534	French	EUR	female
HGDP00535	French	EUR	female
HGDP00536	French	EUR	female
HGDP00537	French	EUR	female
HGDP00538	French	EUR	male
HGDP00539	French	EUR	female
HGDP00558	Druze	MID	female
HGDP00559	Druze	MID	female
HGDP00560	Druze	MID	female
HGDP00561	Druze	MID	female
HGDP00562	Druze	MID	male
HGDP00563	Druze	MID	female
HGDP00564	Druze	MID	female
HGDP00566	Druze	MID	female
HGDP00567	Druze	MID	female
HGDP00568	Druze	MID	female
HGDP00574	Druze	MID	female
HGDP00577	Druze	MID	female
HGDP00578	Druze	MID	female
HGDP00579	Druze	MID	female
HGDP00581	Druze	MID	female
HGDP00582	Druze	MID	female
HGDP00583	Druze	MID	female
HGDP00584	Druze	MID	female
HGDP00586	Druze	MID	female
HGDP00587	Druze	MID	female
HGDP00588	Druze	MID	male
HGDP00590	Druze	MID	female
HGDP00591	Druze	MID	female
HGDP00594	Druze	MID	male
HGDP00595	Druze	MID	male
HGDP00598	Druze	MID	male
HGDP00600	Druze	MID	male
HGDP00601	Druze	MID	female
HGDP00602	Druze	MID	male
HGDP00604	Druze	MID	male
HGDP00606	Druze	MID	female
HGDP00607	Bedouin	MID	female
HGDP00608	Bedouin	MID	male
HGDP00610	Bedouin	MID	male
HGDP00612	Bedouin	MID	female
HGDP00614	Bedouin	MID	female
HGDP00615	Bedouin	MID	female
HGDP00618	Bedouin	MID	male
HGDP00619	Bedouin	MID	male
HGDP00621	Bedouin	MID	male
HGDP00622	Bedouin	MID	male
HGDP00623	Bedouin	MID	male
HGDP00624	Bedouin	MID	male
HGDP00626	Bedouin	MID	male
HGDP00629	Bedouin	MID	male
HGDP00630	Bedouin	MID	male
HGDP00631	Bedouin	MID	male
HGDP00636	Bedouin	MID	female
HGDP00637	Bedouin	MID	female
HGDP00639	Bedouin	MID	male
HGDP00641	Bedouin	MID	male
HGDP00642	Bedouin	MID	male
HGDP00643	Bedouin	MID	female
HGDP00644	Bedouin	MID	male
HGDP00645	Bedouin	MID	male
HGDP00647	Bedouin	MID	female
HGDP00648	Bedouin	MID	male
HGDP00649	Bedouin	MID	female
HGDP00651	Bedouin	MID	female
HGDP00653	Bedouin	MID	female
HGDP00666	Sardinian	EUR	male
HGDP00667	Sardinian	EUR	female
HGDP00668	Sardinian	EUR	male
HGDP00669	Sardinian	EUR	female
HGDP00670	Sardinian	EUR	male
HGDP00671	Sardinian	EUR	male
HGDP00672	Sardinian	EUR	female
HGDP00673	Sardinian	EUR	female
