pgs_id,reported_trait,category
PGS000882,25-hydroxyvitamin D,Metabolism & Hormones
PGS002811,Abdominal adipose tissue volumes adjusted for BMI and height,Metabolism & Hormones
PGS000753,Abdominal aortic aneurysm,Cardiovascular & Cholesterol
PGS001784,Abdominal aortic aneurysm,Cardiovascular & Cholesterol
PGS002054,Abdominal aortic aneurysm,Cardiovascular & Cholesterol
PGS003429,Abdominal aortic aneurysm,Cardiovascular & Cholesterol
PGS003972,Abdominal aortic aneurysm,Cardiovascular & Cholesterol
PGS003973,Abdominal aortic aneurysm,Cardiovascular & Cholesterol
PGS012563,Abdominal aortic aneurysm,Cardiovascular & Cholesterol
PGS019340,Abdominal hernia,Digestive & Liver Health
PGS019341,Abdominal hernia,Digestive & Liver Health
PGS019342,Abdominal hernia,Digestive & Liver Health
PGS019343,Abdominal hernia,Digestive & Liver Health
PGS019344,Abdominal hernia,Digestive & Liver Health
PGS019502,Abnormal findings on examination of urine,Kidney & Urinary Health
PGS019503,Abnormal findings on examination of urine,Kidney & Urinary Health
PGS019504,Abnormal findings on examination of urine,Kidney & Urinary Health
PGS019505,Abnormal findings on examination of urine,Kidney & Urinary Health
PGS019506,Abnormal findings on examination of urine,Kidney & Urinary Health
PGS018729,Abnormal glucose,Metabolism & Hormones
PGS018730,Abnormal glucose,Metabolism & Hormones
PGS018731,Abnormal glucose,Metabolism & Hormones
PGS018732,Abnormal glucose,Metabolism & Hormones
PGS018733,Abnormal glucose,Metabolism & Hormones
PGS019768,Abnormal tumor markers,Cancer
PGS019769,Abnormal tumor markers,Cancer
PGS019770,Abnormal tumor markers,Cancer
PGS019771,Abnormal tumor markers,Cancer
PGS019772,Abnormal tumor markers,Cancer
PGS019634,Acne,Skin Health
PGS019635,Acne,Skin Health
PGS019636,Acne,Skin Health
PGS019637,Acne,Skin Health
PGS019638,Acne,Skin Health
PGS001785,Acute appendicitis,Digestive & Liver Health
PGS001369,Acute appendicitis (time-to-event),Digestive & Liver Health
PGS019240,Acute but ill defined cerebrovascular disease,Cardiovascular & Cholesterol
PGS019241,Acute but ill defined cerebrovascular disease,Cardiovascular & Cholesterol
PGS019242,Acute but ill defined cerebrovascular disease,Cardiovascular & Cholesterol
PGS019243,Acute but ill defined cerebrovascular disease,Cardiovascular & Cholesterol
PGS019244,Acute but ill defined cerebrovascular disease,Cardiovascular & Cholesterol
PGS003448,Acute lymphoblastic leukemia,Cancer
PGS001314,Acute myocardial infarction (time-to-event),Cardiovascular & Cholesterol
PGS019260,Acute upper respiratory infections of multiple or unspecified sites,Lung & Respiratory
PGS019261,Acute upper respiratory infections of multiple or unspecified sites,Lung & Respiratory
PGS019262,Acute upper respiratory infections of multiple or unspecified sites,Lung & Respiratory
PGS019263,Acute upper respiratory infections of multiple or unspecified sites,Lung & Respiratory
PGS019264,Acute upper respiratory infections of multiple or unspecified sites,Lung & Respiratory
PGS003849,Addiction risk factors,Brain & Mental Health
PGS005215,Addiction risk factors,Brain & Mental Health
PGS005235,Adiposity,Metabolism & Hormones
PGS000034,Adult body mass index (BMI),Metabolism & Hormones
PGS001372,Age hayfever or allergic rhinitis diagnosed by doctor,Immune & Autoimmune
PGS002269,Age-related macular degeneration,Eye Health
PGS004606,Age-related macular degeneration,Eye Health
PGS004607,Age-related macular degeneration,Eye Health
PGS004952,Age-related macular degeneration,Eye Health
PGS001940,Alanine aminotransferase,Digestive & Liver Health
PGS002158,Alanine aminotransferase,Digestive & Liver Health
PGS003522,Alanine aminotransferase,Digestive & Liver Health
PGS004715,Alanine aminotransferase,Digestive & Liver Health
PGS004716,Alanine aminotransferase,Digestive & Liver Health
PGS004717,Alanine aminotransferase,Digestive & Liver Health
PGS004718,Alanine aminotransferase,Digestive & Liver Health
PGS003342,Alanine aminotransferase level,Digestive & Liver Health
PGS003351,Alanine aminotransferase level,Digestive & Liver Health
PGS004329,Alanine aminotransferase (U/L),Digestive & Liver Health
PGS000668,Alanine aminotransferase [U/L],Digestive & Liver Health
PGS000816,Alanine transaminase,Digestive & Liver Health
PGS001886,Albumin,Blood & Biomarkers
PGS002099,Albumin,Blood & Biomarkers
PGS004328,Albumin,Blood & Biomarkers
PGS004707,Albumin,Blood & Biomarkers
PGS004708,Albumin,Blood & Biomarkers
PGS004709,Albumin,Blood & Biomarkers
PGS004710,Albumin,Blood & Biomarkers
PGS000669,Albumin [g/L],Blood & Biomarkers
PGS004913,Alcohol-associated liver cirrhosis,Digestive & Liver Health
PGS000704,Alcoholic cirrhosis,Digestive & Liver Health
PGS018961,Alcoholism,Brain & Mental Health
PGS018962,Alcoholism,Brain & Mental Health
PGS018963,Alcoholism,Brain & Mental Health
PGS018964,Alcoholism,Brain & Mental Health
PGS018965,Alcoholism,Brain & Mental Health
PGS018956,Alcohol related disorders,Brain & Mental Health
PGS018957,Alcohol related disorders,Brain & Mental Health
PGS018958,Alcohol related disorders,Brain & Mental Health
PGS018959,Alcohol related disorders,Brain & Mental Health
PGS018960,Alcohol related disorders,Brain & Mental Health
PGS002738,Alcohol use disorder,Brain & Mental Health
PGS002739,Alcohol use disorder,Brain & Mental Health
PGS005211,Alcohol use disorder (3-item consumption index),Brain & Mental Health
PGS005212,Alcohol use disorder (7-item problematic use index),Brain & Mental Health
PGS005213,Alcohol use disorder by DSM-V,Brain & Mental Health
PGS000815,Alkaline phosphatase,Digestive & Liver Health
PGS001939,Alkaline phosphatase,Digestive & Liver Health
PGS002157,Alkaline phosphatase,Digestive & Liver Health
PGS003521,Alkaline phosphatase,Digestive & Liver Health
PGS004711,Alkaline phosphatase,Digestive & Liver Health
PGS004712,Alkaline phosphatase,Digestive & Liver Health
