pgs_id,reported_trait,category
PGS003429,Abdominal aortic aneurysm,Cardiovascular
PGS001784,Abdominal aortic aneurysm,Cardiovascular
PGS003972,Abdominal aortic aneurysm,Cardiovascular
PGS001369,Acute appendicitis (time-to-event),Metabolic & Endocrine
PGS001314,Acute myocardial infarction (time-to-event),Cardiovascular
PGS000717,Adult life body size,Metabolic & Endocrine
PGS004952,Age-related macular degeneration,Ophthalmology
PGS004606,Age-related macular degeneration,Ophthalmology
PGS004280,All-cause dementia,Neurological & Psychiatric
PGS004283,All-cause dementia,Neurological & Psychiatric
PGS004282,All-cause dementia,Neurological & Psychiatric
PGS005170,All-cause dementia,Neurological & Psychiatric
PGS004284,All-cause dementia,Neurological & Psychiatric
PGS004281,All-cause dementia,Neurological & Psychiatric
PGS000929,All-cause dementia (algorithmically-defined),Neurological & Psychiatric
PGS004285,Alzheimer's disease,Neurological & Psychiatric
PGS004008,Alzheimer's disease,Neurological & Psychiatric
PGS004286,Alzheimer's disease,Neurological & Psychiatric
PGS004062,Alzheimer's disease,Neurological & Psychiatric
PGS004092,Alzheimer's disease,Neurological & Psychiatric
PGS004146,Alzheimer's disease,Neurological & Psychiatric
PGS004289,Alzheimer's disease,Neurological & Psychiatric
PGS004863,Alzheimer's disease,Neurological & Psychiatric
PGS004034,Alzheimer's disease,Neurological & Psychiatric
PGS004288,Alzheimer's disease,Neurological & Psychiatric
PGS000779,Alzheimer's disease,Neurological & Psychiatric
PGS004287,Alzheimer's disease,Neurological & Psychiatric
PGS001348,Alzheimer's disease (algorithmically-defined),Neurological & Psychiatric
PGS001349,Alzheimer's disease (time-to-event),Neurological & Psychiatric
PGS001260,Angina,Cardiovascular
PGS001261,Angina pectoris (time-to-event),Cardiovascular
PGS003421,Ankylosing spondylitis,Immune & Autoimmune
PGS003422,Ankylosing spondylitis,Immune & Autoimmune
PGS003423,Ankylosing spondylitis,Immune & Autoimmune
PGS003424,Ankylosing spondylitis,Immune & Autoimmune
PGS001267,Ankylosing spondylitis,Immune & Autoimmune
PGS003420,Ankylosing spondylitis,Immune & Autoimmune
PGS001268,Ankylosing spondylitis (time-to-event),Immune & Autoimmune
PGS001135,Arthritis (nos),Immune & Autoimmune
PGS001112,Aspirin,Other
PGS001113,Aspirin use self-reported,Other
PGS002727,Asthma,Immune & Autoimmune
PGS001787,Asthma,Immune & Autoimmune
PGS001782,Asthma,Immune & Autoimmune
PGS000799,Asthma,Immune & Autoimmune
PGS001344,Asthma (diagnosed by doctor),Immune & Autoimmune
PGS004293,Atrial fibrillation,Cardiovascular
PGS004294,Atrial fibrillation,Cardiovascular
PGS004187,Atrial fibrillation,Cardiovascular
PGS005289,Atrial fibrillation,Cardiovascular
PGS005288,Atrial fibrillation,Cardiovascular
PGS005287,Atrial fibrillation,Cardiovascular
PGS004189,Atrial fibrillation,Cardiovascular
PGS004188,Atrial fibrillation,Cardiovascular
PGS004186,Atrial fibrillation,Cardiovascular
PGS004190,Atrial fibrillation,Cardiovascular
PGS004290,Atrial fibrillation,Cardiovascular
PGS005290,Atrial fibrillation,Cardiovascular
PGS002814,Atrial fibrillation,Cardiovascular
PGS005291,Atrial fibrillation,Cardiovascular
PGS005292,Atrial fibrillation,Cardiovascular
PGS004291,Atrial fibrillation,Cardiovascular
PGS004292,Atrial fibrillation,Cardiovascular
PGS001340,Atrial fibrillation,Cardiovascular
