"pgs_id","reported_trait"
"PGS004606","Age-related macular degeneration"
"PGS004146","Alzheimer's disease"
"PGS004008","Alzheimer's disease"
"PGS004034","Alzheimer's disease"
"PGS004062","Alzheimer's disease"
"PGS004092","Alzheimer's disease"
"PGS002727","Asthma"
"PGS005313","Atrial fibrillation"
"PGS002814","Atrial fibrillation"
"PGS000016","Atrial fibrillation"
"PGS004929","Atrial fibrillation"
"PGS004025","Breast cancer"
"PGS000004","Breast cancer"
"PGS004153","Breast cancer"
"PGS004083","Breast cancer"
"PGS004069","Breast cancer"
"PGS004040","Breast cancer"
"PGS000212","Breast cancer intrinsic-like subtype (luminal A-like)"
"PGS004930","Celiac disease"
"PGS002237","Chronic kidney disease (stage 3 or greater)"
"PGS005090","Chronic kidney disease (stage 3 or higher)"
"PGS004621","Cirrhosis"
"PGS003434","Colorectal cancer"
"PGS003432","Colorectal cancer"
"PGS003431","Colorectal cancer"
"PGS003979","Colorectal cancer"
"PGS003436","Colorectal cancer"
"PGS003435","Colorectal cancer"
"PGS003433","Colorectal cancer"
"PGS003446","Coronary artery disease"
"PGS000011","Coronary artery disease"
"PGS000013","Coronary artery disease"
"PGS000018","Coronary artery disease"
"PGS000296","Coronary artery disease"
"PGS000337","Coronary artery disease"
"PGS005091","Coronary artery disease"
"PGS005092","Coronary artery disease"
"PGS004237","Coronary Artery Disease"
"PGS001780","Coronary heart disease"
"PGS004696","Coronary heart disease"
"PGS004697","Coronary heart disease"
"PGS004698","Coronary heart disease"
"PGS000200","Coronary heart disease"
"PGS004254","Crohn's disease"
"PGS004861","Dilated cardiomyopathy"
"PGS004862","Dilated cardiomyopathy (MTAG)"
"PGS000005","ER-positive breast cancer"
"PGS000883","Estimated glomerular filtration rate"
"PGS001801","FEV1/FVC ratio"
"PGS001800","Forced expiratory volume (FEV1)"
"PGS003990","Gout"
"PGS004160","Gout"
"PGS004931","Gout"
"PGS004006","Gout"
"PGS004018","Gout"
"PGS004032","Gout"
"PGS004047","Gout"
"PGS004060","Gout"
"PGS004076","Gout"
"PGS004090","Gout"
"PGS005265","Graves' disease"
"PGS005266","Graves' disease"
"PGS000865","Hepatic fat content"
"PGS004934","Hypertension"
"PGS004236","Hypertension"
"PGS004910","Hypertrophic cardiomyopathy"
"PGS004911","Hypertrophic cardiomyopathy (MTAG)"
"PGS004935","Hypothyroidism"
"PGS002780","Incident type 2 diabetes"
"PGS004023","Inflammatory bowel disease (IBD)"
"PGS003981","Inflammatory bowel disease (IBD)"
"PGS004013","Inflammatory bowel disease (IBD)"
"PGS004135","Inflammatory bowel disease (IBD)"
"PGS004051","Inflammatory bowel disease (IBD)"
"PGS004038","Inflammatory bowel disease (IBD)"
"PGS003997","Inflammatory bowel disease (IBD)"
"PGS004097","Inflammatory bowel disease (IBD)"
"PGS004081","Inflammatory bowel disease (IBD)"
"PGS004067","Inflammatory bowel disease (IBD)"
"PGS004151","Inflammatory bowel disease (IBD)"
"PGS002725","Ischemic stroke"
"PGS004908","Kidney cancer"
"PGS004860","Lung cancer"
"PGS000872","Non-alcoholic fatty liver disease"
"PGS005219","Obstructive sleep apnea (AdjustedBMI)"
"PGS005220","Obstructive sleep apnea (UnadjustedBMI)"
"PGS004944","Primary open-angle glaucoma"
"PGS000585","Prostate cancer"
"PGS004085","Prostate cancer"
"PGS000583","Prostate cancer"
"PGS000584","Prostate cancer"
"PGS004027","Prostate cancer"
"PGS000582","Prostate cancer"
"PGS003985","Prostate cancer"
"PGS004055","Prostate cancer"
"PGS004155","Prostate cancer"
"PGS000587","Prostate cancer"
"PGS004125","Prostate cancer"
"PGS000588","Prostate cancer"
"PGS000586","Prostate cancer"
"PGS004071","Prostate cancer"
"PGS004139","Prostate cancer"
"PGS004042","Prostate cancer"
"PGS004001","Prostate cancer"
"PGS004099","Prostate cancer"
"PGS004163","Rheumatoid arthritis"
"PGS004021","Rheumatoid arthritis"
"PGS004049","Rheumatoid arthritis"
"PGS004148","Rheumatoid arthritis"
"PGS004010","Rheumatoid arthritis"
"PGS004064","Rheumatoid arthritis"
"PGS004079","Rheumatoid arthritis"
"PGS004094","Rheumatoid arthritis"
"PGS004103","Rheumatoid arthritis"
"PGS003994","Rheumatoid arthritis"
"PGS003066","Smoking status"
"PGS003064","Smoking status"
"PGS003065","Smoking status"
"PGS002238","Systolic blood pressure"
"PGS005120","Systolic blood pressure"
"PGS005259","Thyroid carcenoma"
"PGS005260","Thyroid carcenoma"
"PGS004937","Triglycerides"
"PGS004078","Type 1 diabetes (T1D)"
"PGS003993","Type 1 diabetes (T1D)"
"PGS004009","Type 1 diabetes (T1D)"
"PGS004020","Type 1 diabetes (T1D)"
"PGS004035","Type 1 diabetes (T1D)"
"PGS004063","Type 1 diabetes (T1D)"
"PGS004093","Type 1 diabetes (T1D)"
"PGS004102","Type 1 diabetes (T1D)"
"PGS004117","Type 1 diabetes (T1D)"
"PGS004132","Type 1 diabetes (T1D)"
"PGS004147","Type 1 diabetes (T1D)"
"PGS004162","Type 1 diabetes (T1D)"
"PGS000023","Type 1 diabetes (T1D)"
"PGS000330","Type 2 diabetes (T2D)"
"PGS000713","Type 2 diabetes (T2D)"
"PGS000729","Type 2 diabetes (T2D)"
"PGS000805","Type 2 diabetes (T2D)"
"PGS004859","Type 2 diabetes (T2D)"
"PGS000864","Type 2 diabetes (T2D)"
"PGS003867","Type 2 diabetes (T2D)"
"PGS003445","Type 2 diabetes (T2D)"
"PGS003444","Type 2 diabetes (T2D)"
"PGS003443","Type 2 diabetes (T2D)"
"PGS000868","Type 2 diabetes (T2D)"
"PGS004923","Type 2 diabetes (T2D)"
"PGS000036","Type 2 diabetes (T2D)"
"PGS001818","Type 2 diabetes (T2D)"
"PGS001357","Type 2 diabetes (T2D)"
"PGS001781","Type 2 diabetes (T2D)"
"PGS002243","Type 2 diabetes (T2D)"
"PGS002026","Type 2 diabetes (T2D)"
"PGS003118","Type 2 diabetes (T2D)"
"PGS003117","Type 2 diabetes (T2D)"
"PGS000014","Type 2 diabetes (T2D)"
"PGS003116","Type 2 diabetes (T2D)"
"PGS003115","Type 2 diabetes (T2D)"
"PGS003114","Type 2 diabetes (T2D)"
"PGS003103","Type 2 diabetes (T2D)"
"PGS002771","Type 2 diabetes (T2D)"
"PGS005242","Type 2 diabetes (T2D)"
"PGS005243","Type 2 diabetes (T2D)"
"PGS005244","Type 2 diabetes (T2D)"
"PGS005245","Type 2 diabetes (T2D)"
"PGS005246","Type 2 diabetes (T2D)"
"PGS005247","Type 2 diabetes (T2D)"
"PGS002671","Type 2 diabetes (T2D)"
"PGS002308","Type 2 diabetes (T2D)"
"PGS004253","Ulcerative colitis"
"PGS003332","Venous thromboembolism"
